Title,Year of Release,RT Scores,Adjusted score,Critics consensus,Synopsis,Cast,Director
Léon: The Professional,1994,73,76.915,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,"As visually stylish as it is graphically violent, this thriller directed by Luc Besson concerns Mathilda (Natalie Portman), a 12-year-old... [More]","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Luc Besson
Speed,1994,94,97.915,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.","If you don't think Speed is the fastest-moving adventure film ever made, we challenge you to find a faster one.... [More]","Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morto",Jan de Bon
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,83,87.76,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,Jackie Chan returns in one of his greatest roles in this action-comedy sequel to his 1978 Hong Kong blockbuster Drunken... [More],"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam","Lau Kar-Leung, Chia-Liang Liu, Liu Chia-Liang"
John Wick,2014,86,94.222,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",An ex-hitman comes out of retirement to track down the gangsters that took everything from him. With New York City... [More],"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palick","avid Leitch, Chad Stahelsk"
"Crouching Tiger, Hidden Dragon",2001,97,101.918,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.",Taiwanese filmmaker Ang Lee took a break from making Western period dramas to fashion this wild and woolly martial arts... [More],"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Ch",Ang L
Predator,1987,81,84.578,"Predator: Part sci-fi, part horror, part action -- all muscle.","Dutch (Arnold Schwarzenegger) has a code of honor which he will not violate, even when his life depends on it.... [More]","Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke",John McTiernan
The Bourne Ultimatum,2007,92,101.026,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.",Jason Bourne (Matt Damon) races to solve the mystery of his past while being hunted by members of the very... [More],"Matt Damon, Julia Stiles, David Strathairn, Scott Gle",Paul Greengrass
Total Recall,1990,82,86.712,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.","In Paul Verhoeven's wild sci-fi action movie Total Recall, Arnold Schwarzenegger plays a 21st-century construction worker who discovers that his... [More]","Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Paul Verhoeven
Mad Max 2: The Road Warrior,1982,95,98.778,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.",Director George Miller's follow-up to his own 1979 hit Mad Max is proof that not all sequels are inferior to... [More],"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty",George Mill
Heat,1995,86,91.17,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","A successful career criminal considers getting out of the business after one last score, while an obsessive cop desperately tries... [More]","Al Pacino, Robert De Niro, Val Kilmer, Jon Voigh",Michael Mann
